"(68.0, 381.0)","(60.0, 496.0)","(133.5, 275.0)","(110.0, 578.5)","(217.0, 608.0)","(241.0, 228.0)","(314.0, 562.0)","(335.0, 238.0)","(384.0, 449.0)","(394.0, 337.0)","(390.0, 392.0)"
"(70.0, 379.0)","(59.0, 495.0)","(135.0, 273.0)","(109.0, 579.0)","(215.0, 608.0)","(243.0, 226.0)","(312.0, 562.0)","(337.0, 237.5)","(382.0, 449.0)","(394.0, 338.0)","(390.0, 393.0)"
"(72.0, 377.0)","(56.0, 494.0)","(138.5, 271.0)","(107.0, 577.0)","(214.0, 608.0)","(246.0, 226.0)","(311.0, 562.0)","(339.0, 237.0)","(382.0, 449.0)","(394.0, 340.0)","(390.0, 394.0)"
"(73.0, 375.0)","(56.0, 493.0)","(140.0, 269.0)","(105.0, 576.0)","(212.0, 606.0)","(248.0, 224.0)","(310.0, 561.0)","(340.5, 237.0)","(382.0, 449.0)","(396.0, 340.0)","(391.0, 394.0)"
"(75.0, 371.5)","(53.0, 492.0)","(141.0, 267.0)","(105.0, 574.0)","(211.0, 606.0)","(250.0, 224.0)","(309.0, 561.0)","(343.0, 237.5)","(382.0, 449.0)","(396.0, 340.0)","(392.0, 395.0)"
"(76.0, 369.0)","(52.0, 491.0)","(143.0, 265.0)","(103.0, 573.0)","(209.0, 604.0)","(251.0, 222.0)","(309.0, 561.0)","(345.0, 236.0)","(382.0, 449.0)","(396.5, 340.0)","(392.0, 395.0)"
"(76.0, 368.0)","(48.0, 490.0)","(143.0, 264.5)","(101.0, 571.0)","(209.0, 604.0)","(253.0, 222.0)","(307.0, 560.0)","(345.0, 237.0)","(381.0, 449.5)","(397.0, 341.0)","(391.0, 395.0)"
"(76.0, 367.0)","(46.0, 490.0)","(143.5, 263.0)","(100.0, 571.0)","(207.0, 602.0)","(253.0, 222.0)","(305.0, 560.0)","(347.0, 237.0)","(380.0, 451.0)","(398.0, 340.0)","(391.5, 396.0)"
"(76.0, 367.0)","(44.0, 490.5)","(143.0, 263.0)","(99.0, 571.0)","(207.0, 602.0)","(253.0, 222.0)","(305.0, 560.0)","(346.0, 236.0)","(380.0, 451.0)","(397.0, 341.0)","(391.0, 396.0)"
"(76.0, 367.0)","(42.0, 492.0)","(143.0, 263.0)","(99.0, 571.0)","(206.0, 603.5)","(252.0, 220.5)","(305.0, 560.0)","(345.0, 236.0)","(379.0, 451.0)","(396.0, 340.0)","(390.0, 396.0)"
"(75.0, 367.0)","(41.0, 492.0)","(143.0, 263.0)","(97.0, 571.0)","(205.0, 604.0)","(252.0, 221.5)","(303.0, 560.0)","(345.0, 237.0)","(378.0, 451.0)","(396.0, 340.0)","(389.0, 396.0)"
"(74.0, 367.0)","(40.0, 492.0)","(143.0, 263.0)","(99.0, 571.0)","(205.0, 604.0)","(251.0, 220.0)","(304.0, 559.5)","(345.0, 236.0)","(378.0, 451.0)","(396.0, 340.0)","(390.0, 396.0)"
"(74.0, 367.0)","(41.0, 490.0)","(142.5, 263.0)","(101.5, 567.0)","(207.0, 602.0)","(251.0, 220.5)","(307.0, 561.0)","(344.0, 237.0)","(380.0, 451.0)","(396.0, 340.0)","(390.0, 396.0)"
"(74.0, 367.0)","(41.0, 486.0)","(142.5, 263.0)","(107.0, 561.0)","(211.0, 599.0)","(251.0, 221.0)","(310.0, 559.0)","(344.5, 236.0)","(383.5, 449.0)","(397.0, 340.0)","(392.0, 395.0)"
"(74.0, 367.0)","(41.0, 485.0)","(142.5, 263.0)","(111.0, 556.0)","(215.0, 594.0)","(251.0, 222.0)","(315.0, 557.0)","(345.0, 236.0)","(388.0, 447.0)","(400.0, 337.0)","(396.0, 392.0)"
"(72.0, 367.0)","(39.0, 484.0)","(142.0, 263.5)","(115.0, 550.0)","(220.0, 588.0)","(251.0, 222.0)","(319.0, 552.0)","(345.0, 234.0)","(393.5, 444.0)","(402.0, 334.0)","(400.0, 389.0)"
"(73.0, 367.0)","(37.0, 484.0)","(141.5, 264.5)","(117.0, 545.0)","(223.0, 582.0)","(251.0, 222.0)","(322.0, 548.0)","(345.0, 231.5)","(398.0, 440.0)","(406.0, 330.0)","(404.0, 384.0)"
"(72.0, 367.0)","(35.0, 486.0)","(142.5, 265.0)","(118.0, 544.0)","(225.0, 578.0)","(251.0, 221.0)","(325.0, 543.0)","(345.0, 228.0)","(400.0, 435.0)","(408.0, 325.0)","(407.0, 380.0)"
"(72.0, 367.0)","(35.0, 488.0)","(142.5, 265.0)","(119.0, 543.0)","(227.0, 575.0)","(251.0, 220.0)","(327.0, 540.0)","(345.0, 226.0)","(402.0, 433.0)","(408.0, 322.0)","(408.0, 377.0)"
"(72.0, 367.0)","(36.0, 488.0)","(143.0, 264.0)","(121.0, 543.0)","(229.0, 574.0)","(251.0, 220.0)","(328.0, 538.0)","(345.0, 224.5)","(402.0, 431.0)","(409.0, 321.0)","(409.0, 375.5)"
"(72.0, 365.0)","(37.0, 490.0)","(143.0, 263.0)","(121.0, 543.0)","(229.0, 574.0)","(251.0, 218.0)","(329.0, 538.0)","(345.0, 224.0)","(404.0, 430.0)","(409.0, 319.0)","(409.0, 375.0)"
